MARK INGRAM,NO,RB,128.2
ST. LOUIS DEFENSE,STL,DEF,128.4
MARVIN JONES,CIN,WR,128.8
AHMAD BRADSHAW,IND,RB,129.2
CECIL SHORTS,JAC,WR,129.8
KENNY BRITT,STL,WR,130.7
NEW ENGLAND DEFENSE,NE,DEF,130.7
MARTELLUS BENNETT,CHI,TE,132.8
LEGARRETTE BLOUNT,PIT,RB,133.2
STEVE SMITH,BAL,WR,134.5
JUSTIN HUNTER,TEN,WR,135.4
ARIZONA DEFENSE,ARI,DEF,136.0
JORDAN MATTHEWS,PHI,WR,136.4
JOHNNY MANZIEL,CLE,QB,137.6
ERIC EBRON,DET,TE,140.6
CINCINNATI DEFENSE,CIN,DEF,141.0
CHRIS IVORY,NYJ,RB,141.0
MARKUS WHEATON,PIT,WR,142.0
CARSON PALMER,ARI,QB,144.0
MATT PRATER,DEN,PK,144.2
TRE MASON,STL,RB,145.7
ELI MANNING,NYG,QB,146.6
CHARLES CLAY,MIA,TE,146.8
KANSAS CITY DEFENSE,KC,DEF,147.5
STEPHEN GOSTKOWSKI,NE,PK,148.7
JAMES WHITE,NE,RB,149.4
GREG JENNINGS,MIN,WR,150.3
RONNIE HILLMAN,DEN,RB,151.3
KNILE DAVIS,KC,RB,151.6
ANTONIO GATES,SD,TE,152.3
ANDRE BROWN,HOU,RB,153.0
MILES AUSTIN,CLE,WR,153.0
LANCE DUNBAR,DAL,RB,153.6
HEATH MILLER,PIT,TE,153.6
JUSTIN TUCKER,BAL,PK,154.9
HOUSTON DEFENSE,HOU,DEF,155.5
STEVEN HAUSCHKA,SEA,PK,156.5
SHONN GREENE,TEN,RB,156.9
DOUG BALDWIN,SEA,WR,156.9
BRANDON LAFELL,NE,WR,157.4
JAMES JONES,OAK,WR,157.8
BRIAN HARTLINE,MIA,WR,158.0
JAMES STARKS,GB,RB,158.2
ROY HELU,WAS,RB,158.4
AARON DOBSON,NE,WR,158.8
JOE FLACCO,BAL,QB,159.1
JOSH MCCOWN,TB,QB,159.9
MARQISE LEE,JAC,WR,160.6
RYAN TANNEHILL,MIA,QB,160.8
ODELL BECKHAM JR,NYG,WR,160.9
DAN BAILEY,DAL,PK,161.7
CLEVELAND DEFENSE,CLE,DEF,162.0
CHICAGO DEFENSE,CHI,DEF,162.7
MASON CROSBY,GB,PK,162.8
TAMPA BAY DEFENSE,TB,DEF,163.9
NEW ORLEANS DEFENSE,NO,DEF,164.6
PHIL DAWSON,SF,PK,167.7
MATT BRYANT,ATL,PK,169.1
BLAIR WALSH,MIN,PK,169.4
GREG ZUERLEIN,STL,PK,170.3
SHAYNE GRAHAM,NO,PK,171.6
ADAM VINATIERI,IND,PK,171.9
ROBBIE GOULD,CHI,PK,172.0
